Number,Wages,Education,Age,Gender
235,15.42,14,23,Male
236,7,13,47,Female
237,11.27,9.5,34,Female
238,15,11,35,Male
239,27.5,10,49,Female
240,7,8,50,Female
241,29.53,17,44,Female
242,11.97,5.5,29,Male
243,9,9,30,Male
244,25.6,13,60,Male
245,15.6,13,37,Male
246,11,4,54,Male
247,11.25,12,35,Male
248,32.91,18,43,Female
249,14.2,14,37,Male
250,6.85,13,20,Male
251,28.8,20,44,Male
252,6.7,12,30,Male
253,6.62,10,17,Female
254,28.54,15,32,Female
255,22.27,19,50,Male
256,30.72,20,40,Male
257,26.39,18,33,Female
258,33.28,16.5,39,Male
259,6.36,14.5,23,Male
260,12.86,13,30,Female
261,18.29,14.5,36,Male
262,13.6,16,28,Female
263,18.25,17,28,Female
264,16.62,9,32,Female
265,6.35,10.1,17,Female
266,21.81,13,37,Male
267,7.19,13,18,Female
268,25.6,18,42,Female
269,19,11,41,Female
270,13.07,16,44,Male
271,7,12,48,Female
272,40.96,17,43,Female
273,34.67,17,35,Female
274,11.25,10.5,56,Female
275,24,14.5,54,Male
276,7,14,45,Female
277,30.65,14,50,Male
278,9.1,12.3,19,Male
279,23.04,13.5,50,Female
280,20.1,17.1,32,Female
281,13.91,18,31,Female
282,18.72,18,42,Male
283,24.38,20,30,Male
284,6.83,13,27,Female
285,20.91,16.2,26,Male
286,14.85,12,30,Female
287,14.29,12.5,52,Female
288,8,16.1,20,Female
289,14,18,37,Male
290,8,13,23,Male
291,12,12,53,Female
292,17.43,17,34,Male
293,9.89,11,66,Female
294,9.56,17,24,Female
295,12.13,12,51,Female
296,15,12,32,Male
297,4.82,15,23,Male
298,17.9,13,45,Male
299,12.55,12.5,35,Female
300,27.73,17,52,Female
301,10,14,26,Female
302,9.83,14,37,Female
303,22.23,16,41,Female
304,19.2,18.1,43,Male
305,7.25,12,41,Male
306,12,13.5,41,Female
307,32.16,18,62,Female
308,5,11,16,Male
309,24.32,16,21,Male
310,9.76,14,29,Female
311,21.6,11,48,Male
312,16.5,12,31,Female
313,15,17,28,Male
314,19.2,18.5,27,Male
315,15.84,16.3,34,Male
316,11.2,8.5,48,Male
317,9,15.5,23,Male
318,9.6,10,54,Female
319,14,17,38,Female
320,20,13,33,Male
321,8,17,57,Female
322,7.49,12,36,Female
323,8.18,13.3,19,Female
324,18.77,13,32,Male
325,20.76,18,44,Female
326,26.38,8,60,Male
327,10,16,38,Female
328,7.1,9,38,Female
329,33.6,13,44,Male
330,30.24,17,52,Male
331,13,18,29,Female
332,18.74,17,41,Female
333,3.15,11.5,26,Female
334,11.26,12,55,Female
335,7.25,12,20,Female
336,12.5,11,35,Female
337,8.8,12.3,35,Female
338,14.4,17,62,Female
339,24.33,15.3,37,Male
340,9,17,44,Male
341,21.6,13.1,49,Female
342,12.79,12,47,Female
343,15.36,11,64,Male
344,14.49,16,53,Female
345,14.05,15,33,Male
346,16.42,7.6,39,Male
347,8.97,13.1,22,Female
348,8,11.2,60,Female
349,13.5,16.1,36,Female
350,12,20,29,Male
351,10.25,12.2,23,Female
352,27.43,16,55,Male
353,11.32,17.5,34,Male
354,15.77,12.5,33,Male
355,10.87,14,35,Male
356,11.29,10,38,Female
357,28.8,12,55,Male
358,7.41,13,20,Male
359,15,13,32,Male
360,10.05,12,23,Female
361,7.08,16,27,Male
362,18.28,16.1,37,Male
363,11.5,13.5,27,Male
364,16,15,46,Female
365,15,15.5,25,Female
366,12,13,47,Female
367,8.13,10,51,Female
368,19,8,53,Male
369,7,18.5,26,Female
370,8.61,12,55,Female
371,23.46,18,49,Female
372,5.93,10.5,28,Female
373,19.75,17.4,43,Male
374,7.2,17,23,Female
375,13.44,10.6,38,Female
376,15.5,12,50,Female
377,7.12,12,35,Female
378,9.14,17,41,Female
379,17.88,16,38,Female
380,18.75,15,27,Male
381,20.5,17,39,Female
382,31.8,17.3,41,Male
383,6.75,12.6,19,Female
384,9.05,11.1,33,Female
385,7,11,17,Female
386,11.5,9,37,Female
387,11,10,34,Female
388,10.81,0,49,Male
389,25.08,14,38,Male
390,6.7,11,19,Male
391,10.2,12,61,Female
392,24,15,51,Male
393,16.3,12.1,26,Male
394,18.39,12,51,Male
395,3.62,13,57,Male
396,24,11,58,Male
397,16,12.5,44,Female
398,14.5,12.6,36,Female
399,22.81,8,45,Male
400,19.18,12,32,Male
401,8,11,39,Female
402,13.68,12,37,Male
403,9.42,12.5,49,Female
404,28.8,16,38,Female
405,28.8,14,54,Female
406,21.23,15,37,Male
407,24.46,13,32,Female
408,16,12.5,41,Male
409,17.07,14,32,Female
410,38,17,46,Male
411,20.1,14,42,Male
412,18.19,12,50,Female
413,8,13,37,Female
414,7,13,23,Male
415,27.84,17.3,41,Female
416,17.59,9,61,Male
417,7,14.1,19,Male
418,15.36,11,45,Male
419,14,8,64,Male
420,15,13,34,Male
421,13.59,14.1,29,Female
422,9.6,10,17,Female
423,17,11.5,34,Male
424,9.5,3,62,Female
425,17.5,12,43,Female
426,17.81,13,34,Male
427,7.16,13.8,21,Male
428,5.75,12,17,Female
429,15,13,64,Female
430,9.65,12.5,53,Female
431,18.04,15,30,Male
432,27.75,16,36,Male
433,15.36,12,41,Female
434,19.91,13,47,Female
435,12,7,38,Male
436,3.59,13.6,21,Female
437,7.2,11,18,Male
438,13,15,22,Male
439,7,9.5,27,Female
440,12.56,15,24,Male
441,6.44,7,54,Female
442,10,16.5,38,Male
443,13.49,10.5,37,Female
444,5.85,13,19,Male
445,22.7,12.7,43,Male
446,13.07,19,42,Male
447,6.7,6,57,Female
448,7,13,19,Female
449,20.48,11,38,Female
450,25.6,18,32,Female
451,7.75,13,54,Female
452,9.18,12.6,20,Male
453,7.92,13,20,Female
454,43.2,16.5,37,Male
455,18.74,16,29,Female
456,22.98,15,36,Female
457,14.04,9,61,Female
458,14.88,13,40,Female
459,7.6,9,57,Female
460,7.68,15,24,Female
461,6.9,16,24,Female
462,8.75,11,34,Female
463,10.96,12.5,32,Female
464,13.73,19,41,Female
465,27,15,48,Female
466,12.21,12,54,Female
467,30.1,13,47,Male
468,18.24,11.5,51,Male
469,10,12,34,Female
470,18.54,12,38,Male
471,25,11,60,Male
472,14.34,12,23,Female
473,6.73,10,16,Female
474,7.85,9,57,Female
475,6.94,14,19,Male
476,14.07,12.7,56,Female
477,12,12,36,Male
478,8,14,43,Female
479,28.36,15,39,Male
480,9.49,9,55,Female
481,15.04,13,56,Female
482,16.9,12.6,42,Female
483,27.34,14.8,37,Female
484,8.05,12,29,Female
485,10,15,29,Male
486,19.2,16,30,Female
487,5.6,12,29,Female
488,11.36,12,51,Male
489,18.94,16,32,Female
490,9.43,11,21,Male
491,18.21,12,45,Female
492,20.84,13.8,39,Female
493,24,17,31,Male
494,27.84,18,53,Male
495,34.56,12,46,Male
496,15.87,10.5,45,Female
497,31.9,8,58,Male
498,6.7,11,18,Female
499,12,8,29,Male
500,7,13.8,20,Female
501,7.89,12,61,Female
502,9.82,12,18,Male
503,6.7,20,43,Male
504,7,12,25,Male
505,18,15,26,Male
506,26.18,17,38,Female
507,33.6,13,60,Male
508,20,12,36,Male
509,6.85,12.6,20,Female
510,15.85,11,33,Male
511,7.48,12.7,38,Female
512,28.14,16,56,Female
513,7.67,5,62,Female
514,13.88,10,57,Male
515,17.44,5,58,Male
516,14.05,10.5,58,Male
517,13.54,12,56,Female
518,19.86,12.5,63,Male
519,18.72,16.5,26,Male
520,21.6,16,29,Male
521,18.35,12.5,27,Male
522,8.26,10.5,32,Female
523,20.85,12,40,Female
524,12,12,30,Male
525,14.36,10,53,Female
526,12.96,18,35,Male
527,17,14,40,Male
528,6.46,10.6,17,Female
529,9.34,12,18,Male
530,15.51,12.8,37,Male
531,25,17.5,34,Female
532,19,12,35,Male
533,8.5,12,42,Female
534,8,13,46,Female
535,20.45,17,58,Male
536,18.87,14,46,Female
537,10,12,26,Male
538,12.29,13.7,31,Female
539,14.28,13,48,Female
540,9,12.5,42,Female
541,19.33,10,45,Male
542,10.56,13.4,42,Female
543,23.09,12.5,48,Female
544,21.44,13,49,Male
545,7,18,22,Male
546,16.5,12,51,Male
547,18.9,19.5,24,Male
548,15.75,10,35,Male
549,13.21,16,28,Male
550,17.1,15,27,Female
551,16.08,14,44,Male
552,15.65,10,41,Male
553,13.13,19,32,Male
554,15.52,13.6,28,Male
555,23.04,16,29,Male
556,8,12,61,Male
557,10.85,10,44,Female
558,12.31,16,22,Female
559,12.81,10,41,Male
560,21,18,24,Female
561,16.12,12,33,Male
562,21.6,12.7,33,Male
563,12.35,15.4,32,Female
564,16.32,15,38,Female
565,19.2,11.5,53,Female
566,13.23,10,58,Male
567,21.43,15,32,Male
568,16.25,9,34,Male
569,23.63,13,31,Female
570,8,16,29,Female
571,7.49,11.6,19,Female
572,6,15.5,20,Female
573,21,11,39,Female
574,12.03,13.8,37,Female
575,10,13.4,37,Female
576,19.68,12.5,38,Male
577,10,11.3,45,Male
578,24.74,19,32,Female
579,13.75,17,28,Female
580,8.97,11,23,Male
581,14.5,14.3,46,Female
582,9.48,8,62,Male
583,9.2,13,40,Female
584,14.52,15,30,Female
585,16.68,12.5,47,Male
586,10.07,13.2,20,Female
587,7.97,10,26,Female
588,22.8,12,39,Male
589,17.77,15,47,Female
590,15.36,16.2,39,Male
591,24.92,12.5,39,Male
592,10,17.5,24,Male
593,6.6,10,18,Male
594,7.73,9.8,17,Female
595,14.8,9,32,Male
596,9.33,14.5,41,Female
597,10.35,17,51,Female
598,11.43,12.5,21,Female
599,30,16,48,Female
600,15,15.8,30,Male
601,10.46,14.5,24,Female
602,22.04,17,26,Female
603,11,15,25,Female
604,24,15,47,Male
605,17,15,32,Female
606,19,12.8,36,Male
607,15,12.5,38,Male
608,24,16,39,Female
609,12.65,12,39,Female
610,10.56,15,32,Male
611,13,11,22,Male
612,6,14,21,Male
613,7.88,14.3,26,Female
614,12.94,17,33,Male
615,15.78,16,47,Male
616,24,6,54,Male
617,24.69,18.5,31,Female
618,18.96,15.8,53,Male
619,12.13,11,31,Male
620,14.62,13,28,Male
621,13,16,29,Male
622,13.5,11,25,Male
623,13.62,14.5,54,Male
624,9.4,10,51,Female
625,14.77,17,34,Female
626,7.5,12,24,Female
627,11.5,13,31,Female
628,10,14.5,46,Female
629,28.8,12,42,Male
630,19.38,11.5,28,Male
631,24,15,30,Female
632,6.71,11.6,20,Male
633,23.42,12.5,43,Male
634,15.33,13,34,Female
635,12.48,13,28,Male
636,14.65,12.7,37,Female
637,8.91,10.1,35,Female
638,16.46,11,51,Female
639,16.76,19.5,37,Male
640,15.34,12.3,31,Male
641,26.62,16.5,45,Male
642,8.96,12,23,Male
643,20.87,13,42,Male
644,7,12,19,Female
645,38.34,20,47,Female
646,9,13,28,Male
647,25.63,14,38,Female
648,30.72,16.5,48,Male
649,5.15,12.5,29,Female
650,21.6,15,42,Male
651,28.8,15,62,Female
652,14.93,19,28,Male
653,15,15,25,Male
654,9,14.1,20,Female
655,13.76,10,24,Male
656,24,12.5,48,Male
657,28.16,14,51,Female
658,6.48,10,56,Female
659,13.06,13,38,Female
660,17.46,9,45,Male
661,6.76,13,18,Female
662,21.94,17,30,Female
663,18.79,14,52,Female
664,29.22,16.2,40,Male
665,13.75,17.4,40,Female
666,10.22,13.2,30,Male
667,21.99,16,55,Female
668,15.25,12,34,Male
669,6.7,16.3,23,Female
670,8.47,17.5,24,Female
671,11,14,20,Male
672,13.14,15,25,Male
673,11.45,12,23,Male
674,21.94,11,56,Female
675,36.32,17,57,Male
676,12.48,10,49,Male
677,16.06,16,30,Female
678,16.85,10.5,61,Female
679,14,15,49,Male
680,7,16,42,Male
681,8.33,14,42,Female
682,11.78,13,52,Female
683,12.25,12.5,58,Female
684,21.94,17,42,Male
685,10.18,10,41,Female
686,18.81,13.5,40,Male
687,4.63,14.5,24,Female
688,22.21,13,40,Male
689,9.45,13,23,Male
690,21.34,12,49,Male
691,11.87,13,36,Female
692,25.12,12,44,Male
693,8.03,11.6,20,Male
694,16,12,48,Male
695,14.89,17.5,35,Female
696,6.7,13,18,Male
697,18.92,20,41,Male
698,21.1,15,30,Female
699,10,12,49,Female
700,6.25,10.5,60,Female
701,9,9,33,Female
702,13,10,31,Male
703,7.16,7,18,Male
704,7.01,4,45,Female
705,9.63,12,18,Male
706,13.78,10.5,56,Female
707,15.36,18,23,Male
708,7,12,18,Female
709,11,11,25,Male
710,15.43,11.2,55,Female
711,11.5,15,33,Female
712,29.62,13.5,33,Male
713,33.39,16.1,46,Female
714,22.08,12,30,Male
715,12.51,13,26,Female
716,6.7,12,18,Male
717,9.57,15,34,Male
718,9.66,10,45,Male
719,19.04,20,29,Female
720,13,17.1,26,Female
721,9,8,58,Female
722,22.68,15,45,Male
723,6.5,12.2,21,Female
724,6.75,12,57,Female
725,26.98,20,40,Female
726,30.1,16,46,Female
727,38.76,11.5,33,Male
728,18.13,16,33,Male
729,17,8.2,35,Male
730,11,10,33,Male
731,6.61,16,29,Male
732,19.19,13,64,Female
733,38.4,15.2,39,Male
734,6,10,16,Male
735,27.36,19.7,46,Female
736,8.9,12,46,Male
737,9,14.5,20,Male
738,12,15,51,Male
739,12.9,17,23,Male
740,16.67,12,48,Male
741,18.58,8,54,Male
742,19,13,41,Male
743,25.51,16.5,37,Female
744,23.04,17,49,Female
745,14.47,12,39,Male
746,7.5,12,29,Female
747,11.55,10.5,51,Female
748,12,15,27,Female
749,17.57,18,27,Male
750,10,19.3,27,Female
751,15.54,12,34,Male
752,8.33,11,22,Male
753,7,12.5,54,Female
754,6.7,12.5,39,Female
755,17.67,16,44,Female
756,10.08,13,26,Female
757,18.24,16.5,26,Male
758,19.56,20,46,Male
759,8,15,23,Female
760,5.22,15,33,Female
761,25.44,10.6,35,Male
762,8.48,12.5,21,Male
763,14.88,12,35,Female
764,22.53,15,37,Male
765,7,11,18,Female
766,9.54,8.5,38,Male
767,9.32,13,49,Female
768,26.82,12.5,36,Female
769,23.68,13,39,Female
770,6.15,12.6,19,Female
771,9.5,12,58,Female
772,11.97,14.1,27,Male
773,15.89,13,42,Female
774,23.04,20,33,Female
775,15.42,16,24,Female
776,14.63,12,35,Female
777,8.79,12.5,47,Male
778,18.72,17,27,Male
779,6.85,16.8,25,Female
780,7.78,14,33,Male
781,15.85,14.5,40,Female
782,6.35,13,18,Male
783,31.2,16,68,Female
784,38.07,19,40,Male
785,5.75,14.3,36,Female
786,12,8,57,Male
787,15.74,17.6,25,Male
788,12.91,9,54,Male
789,15.36,12.5,26,Male
790,25.44,11,41,Male
791,9.24,15,21,Female
792,8.5,12,18,Male
793,8.7,12,45,Female
794,16.32,15.1,38,Male
795,6.09,14,22,Male
796,21.6,18,31,Female
797,17.5,11.5,25,Male
798,6.4,11.5,25,Female
799,14.65,13.1,42,Female
800,6.34,14,21,Female
801,40.56,15,45,Female
802,13.7,20,39,Female
803,24,12,38,Female
804,18.24,14.5,63,Male
805,13.25,14,45,Female
806,9.7,11,60,Female
807,10.75,13.6,36,Female
808,2.3,12,44,Female
809,24.36,12,45,Male
810,14.88,16,45,Female
811,17.14,14,28,Male
812,17.1,12,49,Female
813,14.4,12,31,Female
814,7.56,14,40,Female
815,9.75,11,51,Male
816,18.46,19,50,Male
817,22.08,20,40,Female
818,8.33,13.3,22,Male
819,26.93,14,57,Female
820,22.36,18.7,35,Male
821,19.2,19,30,Female
822,21.68,13,56,Male
823,8.33,15,34,Male
824,22.27,20,38,Female
825,29.9,14,45,Male
826,23.81,17,35,Female
827,28.32,17,38,Male
828,7.2,17,25,Male
829,10,12.3,21,Male
830,17.21,17,25,Male
831,12.48,12,36,Female
832,18.24,17,35,Female
833,23.04,16,31,Female
834,15.99,15.2,64,Male
835,19.2,10,47,Male
836,11.88,12,33,Female
837,11.92,14.5,22,Male
838,18,12,33,Male
839,31.74,17,49,Female
840,8.5,14.5,22,Male
841,24,15,38,Female
842,11,17.3,22,Male
843,24.05,14,31,Male
844,19.2,12,47,Male
845,17.26,11.2,53,Male
846,44.78,11,39,Male
847,14.02,9,48,Male
848,8,15.6,54,Female
849,12.86,14,32,Female
850,13.8,11,42,Female
851,22.32,13.8,47,Male
852,8.75,10,40,Female
853,8.89,12.5,46,Female
854,15.5,14,24,Female
855,15.16,14.6,32,Female
856,6.13,12.6,33,Female
857,7,12,17,Female
858,6.7,10,22,Female
859,8.5,9,54,Female
860,3.84,12,20,Male
861,17,9,60,Male
862,24,11,60,Male
863,15.57,12,52,Female
864,13.48,9,39,Female
865,12.5,13.5,60,Female
866,6.75,12.3,18,Female
867,21.6,13,42,Male
868,25.85,18,30,Male
869,5.75,12,51,Male
870,6.63,12,19,Male
871,15,6,51,Male
872,19.97,13,56,Female
873,13.7,15,39,Female
874,17.45,10,64,Male
875,8.34,17,24,Female
876,8.41,11,58,Male
877,14,16.4,25,Female
878,8.6,9,29,Male
879,11.18,0,64,Male
880,14.4,13.2,42,Male
881,16,13.5,38,Male
882,20.64,13,32,Male
883,11.8,9,60,Female
884,6.25,10,16,Female
885,23.04,20,42,Male
886,11.9,12,36,Female
887,9.01,10,16,Male
888,47.36,16,44,Female
889,8,13.5,25,Male
890,15.84,12,53,Male
891,12.07,13,55,Female
892,20,17,29,Male
893,12.48,12.5,31,Female
894,7.93,12,30,Female
895,30.24,17,51,Female
896,8.75,14.1,25,Male
897,12.2,13,34,Male
898,18.75,18,53,Female
899,15.95,13,54,Male
900,11,13.2,25,Male
901,13,17.5,41,Female
902,15.36,12,47,Female
903,7.1,9,50,Female
904,10.84,11,36,Male
905,15.36,12,36,Male
906,21.39,16,38,Male
907,7.08,17,28,Female
908,6.7,13.9,20,Female
909,26.77,14,34,Male
910,15,13,32,Female
911,30,16,37,Male
912,17.62,12,39,Male
913,10,9,46,Female
914,9.89,18,29,Female
915,25,15,32,Female
916,32.12,20,58,Male
917,25,13,30,Female
918,7.36,12.5,36,Female
919,8.75,11,17,Female
920,15.23,10,45,Male
921,18,12,47,Male
922,27.8,9,30,Female
923,17.95,15.5,24,Female
924,40.05,20,50,Female
925,12.5,9.5,29,Male
926,13.05,9,64,Female
927,17.85,13,44,Male
928,15,14,31,Male
929,10,13,34,Female
930,11.29,13,31,Male
931,7.54,12,38,Female
932,14.96,13,27,Male
933,10.26,10,32,Male
934,3.75,10,16,Male
935,16.22,12,26,Male
936,33.59,15.5,53,Female
937,11,14.8,36,Male
938,20.3,12,32,Female
939,15.75,20,34,Male
940,13.59,13,42,Female
941,11.5,12,41,Male
942,9.35,17,24,Male
943,8.12,12.1,16,Male
944,4.96,16,21,Female
945,32.64,12,65,Male
946,28.73,15.5,36,Male
947,9.6,12,39,Female
948,16.51,13,27,Male
949,24.07,19,29,Female
950,16.5,18,47,Male
951,14.71,9,54,Male
952,19,18.3,40,Male
953,7.5,15,31,Male
954,19.2,7,56,Male
955,16,10,48,Male
956,16.22,10,47,Male
957,6.83,14.3,41,Male
958,3.64,13.5,33,Female
959,19.2,12,30,Female
960,7.5,12.3,25,Female
961,10.18,15.3,37,Female
962,30,17,24,Female
963,17.76,10,50,Male
964,6.58,12,23,Male
965,14.23,13,64,Female
966,10,20,30,Female
967,7,17,34,Female
968,22.39,17.5,41,Female
969,4.29,13,42,Female
970,46.15,11,18,Male
971,11.52,9,53,Female
972,6.85,8,49,Female
973,6.53,10,45,Female
974,23.96,14,36,Male
975,28.74,17.5,54,Male
976,23.04,13.5,54,Male
977,16.81,12,61,Female
978,24,12,39,Male
979,19.55,14.1,27,Male
980,7.2,19,25,Female
981,8.55,11,38,Female
982,19.39,15,26,Male
983,24.48,19,31,Male
984,17,10.5,31,Male
985,20.16,16,48,Male
986,18.56,13.1,36,Female
987,12.81,15,35,Female
988,7.03,12,25,Male
989,25.8,12,54,Female
990,26.11,16,43,Male
991,20.64,14,44,Female
992,11.99,13.5,33,Male
993,7.4,12.9,19,Male
994,31.71,12,42,Male
995,11,10,36,Female
996,22.4,15.1,35,Female
997,6.75,16,22,Female
998,18.24,10,46,Female
999,7.47,9.4,24,Female
1000,12.39,9,37,Male
1001,33.59,17,46,Male
1002,20.85,18,42,Female
1003,15.28,12,30,Female
1004,17.1,13,29,Male
1005,11.68,8,60,Male
1006,7,13,26,Female
1007,5.69,10,38,Female
1008,22.54,15,36,Male
1009,8.53,13,37,Female
1010,14.13,19,46,Male
1011,16.32,14.5,45,Female
1012,12.29,17.5,28,Female
1013,9.23,12,36,Female
1014,15,17,51,Male
1015,19.61,13.9,31,Female
1016,27.79,18.1,35,Female
1017,10.56,16,24,Male
1018,7,14.5,25,Female
1019,10,14.5,23,Male
1020,6.63,12.5,47,Female
1021,18.92,12,51,Male
1022,18.24,14.1,40,Female
1023,29.26,16,43,Male
1024,16.45,13,34,Female
1025,11.49,12,50,Female
1026,6.7,15,21,Female
1027,13.25,12.5,37,Male
1028,14.59,18.1,43,Female
1029,15.36,13.5,34,Male
1030,16.4,13,55,Female
1031,12,13.5,41,Male
1032,9.15,12,17,Female
1033,8.61,14.8,37,Female
1034,25.58,17.3,42,Female
1035,21.6,12,42,Male
1036,13.06,9,22,Male
1037,15,13,36,Male
1038,9,14,31,Female
1039,12.8,14,42,Female
1040,16,16,32,Female
1041,18.03,15,31,Female
1042,12,17,19,Female
1043,18.26,14,29,Male
1044,15.84,20,29,Male
1045,6.76,13,29,Female
1046,19.68,11,43,Male
1047,24,16,54,Male
1048,7,12,31,Female
1049,3.63,13,19,Male
1050,27.65,18,54,Male
1051,17.87,17,25,Female
1052,27.93,12.2,37,Male
1053,14.35,10,34,Male
1054,17.84,8,46,Male
1055,15,12,44,Male
